"","ID","AIC","lnB0","E","B0"
"299","516",-24.7239804365265,3.85870844976627,0.25970947136479,47.4040870546851
"300","517",-24.497016879056,3.92849025499114,0.231682337390166,50.830179101464
"301","518",-37.047964633369,4.60220959769693,0,99.7043789928588
"302","520",-224.581256483117,-0.621356748067315,0.406588896032141,0.537215077409537
"303","521",-7.21596582576976,-11.5693011337849,0.676337547236204,9.45183993036206e-06
"304","522",2.86203917379813,-11.3366839387976,0.871599325664449,1.1927260984343e-05
"305","523",-18.229899626911,-14.9353848756083,0.554207150391188,3.26320804813405e-07
"306","524",NA,NA,NA,NA
"307","526",NA,NA,NA,NA
"308","527",NA,NA,NA,NA
"309","528",NA,NA,NA,NA
"310","529",NA,NA,NA,NA
"311","533",-8.08481149739378,-11.9723853045828,0.398907297869347,6.3162473203791e-06
"312","534",11.2672408624898,-11.2271500404476,0.0927900925223574,1.33079355809249e-05
"313","535",-34.7207197067229,-13.3409685935426,0.527743208464318,1.60727783842504e-06
"314","536",-17.1391844892259,-13.1275341890151,0.463106919393167,1.98968506804611e-06
"315","537",-2.26577128564596,-12.6543400631554,0.252334107626906,3.19366926250636e-06
"316","538",4.01580910282836,-15.326571889452,0.640930667069082,2.20675643619013e-07
"317","539",-8.51135483165246,-15.2133995005206,0.571139910337394,2.47118094172314e-07
"318","540",5.6484187863795,-15.2293051301099,0.671934911218571,2.43218619312967e-07
"319","541",5.93923943752665,-14.9223629056707,0.61962120671054,3.30597932397298e-07
"320","542",1.16977302949857,-14.3151069077736,0.490240976851927,6.06775535347817e-07
"321","543",-1.19574792147779,-15.9229697778496,0.626206195610014,1.21546397108972e-07
"322","544",-0.954945803980838,-15.7803281391369,0.676102234656216,1.40181456020405e-07
"323","545",2.87249955617293,-15.8192947566848,0.654159110437056,1.3482411542124e-07
"324","546",-16.7226345744635,-14.7180899769226,0.547850721432415,4.05522297625935e-07
"325","547",-9.87349689099231,-14.580547076548,0.617809144107005,4.65316937948498e-07
"326","548",-6.46516258206321,-9.00317531352316,0.311154048756851,0.000123018560755722
"327","549",-7.16046364215575,-9.39803572021545,0.415663853705232,8.28867184619098e-05
"328","550",-7.03212528346703,-8.8903537140494,0.268152014340745,0.000137710939071907
"329","552",10.1876446468724,-8.54504828714972,0.162662696043134,0.000194505856046708
"330","553",-0.402976456326589,-8.64817510886462,0.25030568673667,0.000175446727374028
"331","554",4.30494516921797,-8.49015358898593,0.280747478210866,0.000205481697966188
"332","555",3.98707006614404,-8.62949314023105,0.287875618130345,0.000178755226039835
"333","556",3.94106998091057,-8.79898973595037,0.279882519354237,0.000150885432249855
"334","557",-7.15340588439122,-13.9911283561452,0.234934865892455,8.38938565915536e-07
"335","558",-0.197199095367653,-13.993328956469,0.247060961942923,8.37094427285949e-07
"336","559",-7.24648129049688,-14.3998055474572,0.334585899350155,5.57498765782747e-07
"337","560",2.93667217972432,-14.1780647831374,0.272153044704532,6.95896577543156e-07
"338","561",-3.85530084537636,-14.5191010593433,0.355763521351092,4.94805510660251e-07
"339","562",-0.913761292357425,-14.0639325789346,0.247097211786125,7.80030684499541e-07
"340","563",3.94476868955644,-14.2342365231204,0.285510912002287,6.57884453831724e-07
"341","564",1.19202312288467,-13.4433193652398,0.625846367593261,1.45091035828045e-06
"342","565",5.85556082863115,-12.2569542490307,0.101750315542898,4.7519559343061e-06
"343","566",-4.85712942481688,-12.4711088957478,0.126811803623696,3.83589069548648e-06
"344","567",4.40949842261273,-14.1718759905821,0.848524401757616,7.00216691457154e-07
"345","568",-1.42307128191844,-12.0743990010821,0,5.70367986496916e-06
"346","569",16.6036478820602,-14.4667239571775,0.761136842087932,5.21412710984659e-07
"347","570",-13.8564356510031,-14.6981567842549,0.356386517988537,4.1368675321713e-07
"348","571",0.508579603823531,-14.7229551523328,0.403069180866887,4.03554152084027e-07
"349","572",1.1401445535763,-14.3247019835091,0.284887133569368,6.00981320550454e-07
"350","574",10.8151616846381,-12.2655831489289,0.0996708163320632,4.7111281848384e-06
"351","578",4.50954702750685,-15.1452440557203,0.378804093942163,2.6454775447633e-07
"352","579",23.2391173038348,-15.2884840942513,0.536239526601077,2.29242808897586e-07
"353","580",14.1015531592996,-15.1371780002052,0.411510798088287,2.66690240439627e-07
"354","581",10.9824896500083,-15.4343298582824,0.472564906916205,1.98132496009478e-07
"355","582",5.77318951168959,-14.8890472383565,0.449534642307411,3.41797548587879e-07
"356","583",10.9153561127373,-13.5565428109696,1.04507907416373,1.29559201741794e-06
"357","588",15.5066103725286,-40.7557612558049,0.226730738542639,1.99525211958299e-18
"358","589",14.0910985811976,-40.5339040406837,0.263373534783102,2.49085900574072e-18
"359","594",13.6191021071051,-41.6975881505023,0.452589970747024,7.7797843273409e-19
"360","598",13.6679914357036,-12.7322281247264,0.456591405229627,2.95436114600051e-06
"361","599",-2.59671815164235,-15.6743071239341,0.260298745098298,1.55860084880896e-07
"362","600",-4.03916123579414,-15.8183866153054,0.140962511903964,1.34946610392351e-07
"363","601",9.23268964163072,-11.5272691289119,0.233888086868393,9.85758716318704e-06
"364","602",12.2292814598898,-11.4339297706503,0.188259698907564,1.08219966245481e-05
"365","603",2.66646892811308,-12.4686435046222,0.389801110264069,3.84535933351796e-06
"366","604",-9.80246766214348,-13.7015729355937,0.490681456929796,1.12068221720377e-06
"367","605",-56.2334807286096,-15.0562619705424,0.558051966504299,2.89166852673492e-07
"368","606",-42.3913141590305,-14.679558409496,0.500197518589411,4.21452647138691e-07
"369","607",-30.0543291786813,-15.0391898974259,0.461182217175036,2.94145910816907e-07
"370","608",-13.6596979534263,-15.1124856462903,0.41462404189534,2.73357425739731e-07
"371","609",9.61749460368804,-14.6941862419802,0.278090543265355,4.15332579207849e-07
"372","610",14.6175416464479,-15.7570019264084,0.466967950763835,1.4348979397401e-07
"373","611",-3.78457615193895,-15.1883742206131,0.230780811385902,2.53380323860225e-07
"374","612",2.69773600005376,-15.384293314699,0.259572393074124,2.08298578144987e-07
"375","613",-7.63271139594398,-13.649526090999,0.24020796253747,1.18055476398266e-06
"376","614",3.32082696700513,-13.8400038700561,0.18518068972741,9.758042149856e-07
"377","615",0.373149405757664,-13.4646489759,0.220105571105116,1.42029071859611e-06
"378","616",-2.87232280397413,-14.0163441592492,0.399168982572101,8.18048542455545e-07
