,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
256,284,9.44E-10,17.9340035,5.0140035,29.5690035,1.629849073,1.55993007,NA,11.635,24.555,4.628,0.069919003
1089,1161,2.05E-06,17.912,-31.91,47.516,0.417299725,0.414210445,1.822125705,29.604,79.426,14.859,0.00308928
258,286,1.02E-09,17.9074975,-13.1835025,33.9094975,0.515870988,1.184542645,2.078374951,16.002,47.093,8.518,-0.668671657
921,979,1.73E-08,17.879,-7.467,32.384,0.981830737,1.373995549,4.091571092,14.505,39.851,7.279,-0.392164812
535,565,6.50E-06,17.838159,-6.019841,36.698159,-0.005382911,0.358228428,0.991783999,18.86,42.718,3.795,-0.363611339
580,610,1.37E-06,17.557,13.293,65.55,0.982316406,0.539272098,4.106129918,47.993,52.257,5.387,0.443044308
133,133,8.98E-06,17.54,-3.023,28.368,0.977712027,NA,4.037561424,10.828,31.391,5.64,NA
1091,1163,3.49E-06,17.526,#NAME?,47.899,0.28835239,0.375904741,1.514986703,30.373,Inf,17.641,-0.087552351
811,858,1.90E-05,17.515,#NAME?,57.35,NA,0.279899591,NA,39.835,Inf,14.428,NA
847,894,1.90E-05,17.515,#NAME?,57.35,NA,0.279899591,NA,39.835,Inf,14.428,NA
61,61,1.57E-06,17.3540512,-16.0309488,32.8440512,0.693859965,NA,2.760157273,15.49,48.875,8.727,NA
1096,1174,1.17E-06,17.27,11.821,21.914,NA,4.031926255,NA,4.644,10.093,1.557,NA
36,36,3.506854218,17.098,-5.093,33.253,1.109813451,1.232278445,4.984388872,16.155,38.346,7.169,-0.122464994
45,45,3.920437881,17.061,-10.072,25.421,0.80306616,-2.487169924,3.201581559,8.36,35.493,5.745,3.290236084
42,42,3.561632711,17.009,-10.925,30.295,0.865198606,2.007190911,NA,13.286,41.22,7.33,-1.141992306
47,47,9.215676879,16.895,-19.054,31.007,0.608757548,1.651846881,NA,14.112,50.061,8.654,-1.043089333
1915,MR282,2.06E-06,16.76806,-8.94794,33.81106,0.557212473,0.307637011,2.20202653,17.043,42.759,6.329,0.249575462
589,619,7.09E-06,16.734,#NAME?,27.013,0.239549909,NA,1.417965913,10.279,Inf,12.904,NA
73,73,2.13E-07,16.7325124,#NAME?,23.5215124,NA,2.214329035,NA,6.789,Inf,9.749,NA
1953,India24,5.92E-06,16.717,#NAME?,46.139,NA,0.5572046,NA,29.422,Inf,16.433,NA
32,32,5.398564464,16.674,-14.947,33.183,0.731121848,0.841787781,2.883089059,16.509,48.13,8.745,-0.110665933
500,530,7.25E-07,16.6686663,-0.2893337,24.6056663,0.940573208,2.170412681,3.780507142,7.937,24.895,4.385,-1.229839473
498,528,4.68E-07,16.6190014,3.8760014,23.4130014,1.5063195,1.973986887,NA,6.794,19.537,3.533,-0.467667387
730,774,1.08E-05,16.522,#NAME?,30.73,0.209644431,1.505503691,1.352556221,14.208,Inf,15.102,-1.29585926
48,48,3.119396093,16.387,-16.059,21.404,0.682677187,-1.308666662,2.686546219,5.017,37.463,5.161,1.991343849
870,926,3.31E-06,16.373,-39.57,33.718,0.322527355,1.163642351,1.607496446,17.345,73.288,12.386,-0.841114995
496,526,9.78E-07,16.2610107,-6.0499893,18.8840107,0.789716974,6.448879062,3.060086283,2.623,24.934,3.133,-5.659162089
722,766,1.02E-05,15.962,-26.949,30.262,0.498203165,1.397989019,2.060983897,14.3,57.211,9.625,-0.899785854
869,925,3.84E-06,15.571,#NAME?,27.882,0.196606572,2.213916284,1.335331497,12.311,Inf,13.711,-2.017309712
23,23,1.80E-05,15.5414484,#NAME?,50.7224484,NA,0.419755615,NA,35.181,Inf,21.142,NA
556,586,7.96E-19,15.519,#NAME?,41.416,0.200235161,NA,1.33009995,25.897,Inf,16.665,NA
1114,39601,0.12499103,15.412,#NAME?,18.659,0.050179346,0.307170619,1.07538592,3.247,Inf,12.095,-0.256991274
557,587,1.81E-18,15.334,#NAME?,37.436,0.11623332,0.816198252,1.179876772,22.102,Inf,17.026,-0.699964933
805,852,2.25E-05,15,#NAME?,46.15,NA,0.245704356,NA,31.15,Inf,13.227,NA
841,888,2.25E-05,15,#NAME?,46.055,NA,0.246445715,NA,31.055,Inf,13.226,NA
1269,Atk223,-2.68E-07,15,15,15,NA,0.302060907,NA,0,0,#NAME?,NA
1410,Atk350,2.35E-11,15,-32.37,23.277,NA,1.149513983,NA,8.277,55.647,0.6,NA
1970,India43,3.10E-06,15,#NAME?,36.755,NA,0.235798814,NA,21.755,Inf,17.584,NA
1971,India44,3.60E-06,15,#NAME?,37.168,NA,0.207847827,NA,22.168,Inf,16.131,NA
1972,India45,3.40E-06,15,#NAME?,37.935,NA,0.131777725,NA,22.935,Inf,16.007,NA
1973,India46,3.30E-06,15,#NAME?,36.522,NA,0.185556238,NA,21.522,Inf,17.689,NA
1110,1190,4.69E-06,14.884,#NAME?,43.991,0.259854049,0.468667017,1.459778752,29.107,Inf,20.859,-0.208812968
373,401,2.17E-05,14.369712,#NAME?,40.930212,NA,0.79019244,NA,26.5605,Inf,32.626,NA
1105,1185,2.99E-06,13.945,#NAME?,16.729,0.2652921,-3.250024369,1.476232632,2.784,Inf,10.452,3.515316469
1107,1187,5.14E-06,13.194,#NAME?,33.69,0.299664797,0.852555097,1.554171421,20.496,Inf,17.505,-0.552890301
