ID,sharpschoolhigh_1981,sharpschoollow_1981,sharpschoolfull_1981,best_model
39605,NULL,-157.207179,NULL,sharpschoollow_1981
39606,NULL,-142.0372696,NULL,sharpschoollow_1981
39607,NULL,NULL,NULL,NULL
39608,NULL,-100.8922023,NULL,sharpschoollow_1981
39609,-103.1580295,-83.54766826,-99.15802907,sharpschoolhigh_1981
39610,NULL,-67.30509686,NULL,sharpschoollow_1981
39611,-84.3997184,-67.27447408,-80.39971837,sharpschoollow_1981
39612,NULL,-82.89679193,NULL,sharpschoollow_1981
39613,-50.96847206,-31.35326992,-46.1564038,sharpschoollow_1981
39614,NULL,-34.11972759,NULL,sharpschoollow_1981
39615,-111.7463548,-87.34017594,-89.55271961,sharpschoolhigh_1981
39616,-137.5248799,-123.7979329,-110.8111249,sharpschoolfull_1981
39641,-234.3088947,-215.1327332,-230.3088947,sharpschoollow_1981
Atk1,-1447.742273,-1447.742273,-1451.194922,sharpschoolhigh_1981
Atk10,-1656.921284,-1474.437065,-1671.96294,sharpschoollow_1981
Atk100,-1564.406562,-1543.149836,-1560.406561,sharpschoollow_1981
Atk101,-1786.630222,-1786.327131,-1782.959953,sharpschoolfull_1981
Atk102,-1265.150252,-1265.147492,-1261.152994,sharpschoolfull_1981
Atk103,-1493.905735,-1487.424026,-1490.768499,sharpschoollow_1981
Atk104,-1241.782269,-1218.460446,-1241.754489,sharpschoollow_1981
Atk105,-1289.363819,-1285.64729,-1289.242408,sharpschoollow_1981
Atk106,-1679.609711,-1662.806255,-1682.627401,sharpschoollow_1981
Atk107,-1677.827714,-1670.341574,-1674.072659,sharpschoollow_1981
Atk108,-1038.786982,-1038.7147,-1036.103409,sharpschoolfull_1981
Atk109,-1652.312329,-1640.277976,-1648.505932,sharpschoollow_1981
Atk11,-1695.100798,-1574.27577,-1713.530413,sharpschoollow_1981
Atk110,-1743.212275,-1708.02664,-1746.410263,sharpschoollow_1981
Atk111,-1490.25059,-1490.250589,-1493.402373,sharpschoollow_1981
Atk112,-1099.504335,-1095.850054,-1096.391456,sharpschoollow_1981
Atk113,-1488.20233,-1485.689839,-1495.144996,sharpschoollow_1981
Atk114,-1534.264405,-1527.206483,-1538.711883,sharpschoollow_1981
Atk115,-1570.69033,-1561.941297,-1567.034186,sharpschoollow_1981
Atk116,-1263.078939,-1247.884223,-1268.034441,sharpschoollow_1981
Atk117,-1190.385175,-1190.196076,-1187.997432,sharpschoolfull_1981
Atk118,-1049.597097,-1046.136393,-1045.701679,sharpschoolfull_1981
Atk119,-1730.376653,-1679.449036,-1752.848562,sharpschoollow_1981
Atk12,-1696.19114,-1594.564595,-1719.033549,sharpschoollow_1981
Atk120,-1483.346939,-1455.403388,-1487.214939,sharpschoollow_1981
Atk121,-1557.364712,-1525.230537,-1559.559518,sharpschoollow_1981
Atk122,-1219.376902,-1219.204448,-1217.66017,sharpschoolfull_1981
Atk123,-1457.156307,-1456.910414,-1544.977735,sharpschoollow_1981
Atk124,-1476.959699,-1462.872132,-1474.030991,sharpschoollow_1981
Atk125,-1102.846685,-1102.846685,-1108.742986,sharpschoolhigh_1981
Atk126,-1526.942262,-1526.942262,-1523.748138,sharpschoolfull_1981
Atk127,-1401.514192,-1392.28071,-1410.307705,sharpschoollow_1981
Atk128,-1836.345884,-1829.136524,-1839.707771,sharpschoollow_1981
Atk129,-1750.313864,-1715.977504,-1762.214061,sharpschoollow_1981
Atk13,-1660.41841,-1519.171261,-1673.346241,sharpschoollow_1981
Atk130,-1354.008212,-1158.039188,-1350.008212,sharpschoollow_1981
Atk131,-1711.365872,-1708.137018,-1711.623627,sharpschoollow_1981
Atk132,-1607.90577,-1575.791851,-1604.668412,sharpschoollow_1981
Atk133,-1293.439438,-1293.236394,-1293.048579,sharpschoolfull_1981
Atk134,-1458.946416,-1428.133575,-1465.065902,sharpschoollow_1981
Atk135,-1347.794874,-1342.14472,-1344.192965,sharpschoollow_1981
Atk136,-1548.842192,-1515.394392,-1564.617025,sharpschoollow_1981
Atk137,-1597.315134,-1588.693769,-1595.353692,sharpschoollow_1981
Atk138,-1750.550687,-1737.747104,-1749.601904,sharpschoollow_1981
Atk139,-1441.604905,-1440.777697,-1442.337671,sharpschoollow_1981
Atk14,-1418.491146,-1330.385261,-1518.663957,sharpschoollow_1981
Atk140,-1456.633842,-1456.633842,-1452.634008,sharpschoolfull_1981
Atk141,-1602.257968,-1596.613936,-1600.981404,sharpschoollow_1981
Atk142,-1618.345878,-1618.345878,-1617.046515,sharpschoolfull_1981
Atk143,-1282.554462,-1282.554462,-1285.223823,sharpschoolhigh_1981
Atk144,-1399.176226,-1398.508796,-1396.12408,sharpschoolfull_1981
Atk145,-1304.085145,-1303.9889,-1300.875885,sharpschoolfull_1981
Atk146,-1066.712684,-1066.821543,-1086.041082,sharpschoolhigh_1981
Atk147,-1391.431875,-1354.000797,-1414.899256,sharpschoollow_1981
Atk148,-1325.814449,-1325.433447,-1321.879278,sharpschoolfull_1981
Atk149,-1672.416562,-1667.067531,-1672.821158,sharpschoollow_1981
Atk15,-1601.28163,-1503.894798,-1636.082672,sharpschoollow_1981
Atk150,-1278.23207,-1278.226516,-1274.493191,sharpschoolfull_1981
Atk151,-967.9112258,-967.9112258,-978.7574714,sharpschoolhigh_1981
Atk152,-1691.705095,-1690.63738,-1697.836544,sharpschoollow_1981
Atk153,-1502.928134,-1502.928134,-1499.514287,sharpschoolfull_1981
Atk154,-1750.983255,-1736.778973,-1748.632433,sharpschoollow_1981
Atk155,-1632.471834,-1576.71046,-1637.803936,sharpschoollow_1981
Atk156,-1210.3998,-1208.027272,-1206.403387,sharpschoolfull_1981
Atk157,-1554.744584,-1552.857451,-1552.145438,sharpschoolfull_1981
Atk158,-1160.549572,-1157.133367,-1156.731626,sharpschoolfull_1981
Atk159,-1315.143796,-1313.126406,-1315.475506,sharpschoollow_1981
Atk16,-1616.246698,-1492.557862,-1658.895204,sharpschoollow_1981
Atk160,-1281.242312,-1281.242312,-1282.295514,sharpschoolhigh_1981
Atk161,-1155.072041,-1155.072041,-1151.595649,sharpschoolfull_1981
Atk162,-1389.219154,-1389.219154,-1385.85542,sharpschoolfull_1981
Atk163,-1553.859523,-1552.992074,-1553.823437,sharpschoollow_1981
Atk164,-1543.975295,-1521.627004,-1554.299193,sharpschoollow_1981
Atk165,-1340.815048,-1294.485883,-1354.15779,sharpschoollow_1981
Atk166,-1323.484442,-1323.484442,-1319.654485,sharpschoolfull_1981
Atk167,-1274.400266,-1268.752721,-1296.178891,sharpschoollow_1981
Atk168,-1233.511484,-1233.511484,-1229.875837,sharpschoolfull_1981
Atk169,-1404.690075,-1402.436311,-1410.919712,sharpschoollow_1981
Atk17,-1306.021058,-1156.316663,-1303.473988,sharpschoollow_1981
Atk170,-1475.534092,-1475.534092,-1521.451866,sharpschoolhigh_1981
Atk171,-1206.502777,-1205.693866,-1202.53963,sharpschoolfull_1981
Atk172,-1235.053953,-1234.731678,-1231.96824,sharpschoolfull_1981
Atk173,-1381.2762,-1379.030891,-1384.649343,sharpschoollow_1981
Atk174,-1477.990171,-1476.951433,-1489.372298,sharpschoollow_1981
Atk175,-1565.64266,-1550.666025,-1612.08517,sharpschoollow_1981
Atk176,-1214.750998,NULL,NULL,sharpschoolhigh_1981
Atk177,-1148.271145,-1148.271145,-1145.297861,sharpschoolfull_1981
Atk178,-1240.733264,-1240.45644,-1241.045827,sharpschoollow_1981
Atk179,-1320.156691,-1320.156691,-1319.326409,sharpschoolfull_1981
Atk18,-1570.967482,-1503.093676,-1572.446432,sharpschoollow_1981
Atk180,-1312.062459,-1305.599075,-1308.680216,sharpschoollow_1981
Atk181,-1539.858973,-1497.716904,-1622.157291,sharpschoollow_1981
Atk182,-1291.012911,-1290.500231,-1288.134898,sharpschoolfull_1981
Atk183,-1257.280773,-1255.989332,-1256.524984,sharpschoollow_1981
Atk184,-1390.231563,-1390.231563,-1387.818754,sharpschoolfull_1981
