ID,OriginalID,topt,e,q10,coef_e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,StandardisedTraitUnit,Habitat,Citation,Metabolic_rate,PT
6,6,31.58785,0.626344454,2.273744529,4.350468367,coral,Metazoa,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,Pocillopora damicornis,respiration rate,mol o2 s^-1,marine,"Coles, S., & Jokiel, P. (1977). Effects of temperature on photosynthesis and respiration in hermatypic corals. Marine Biology, 216, 209_216. Retrieved from http://link.springer.com/article/10.1007/BF00402313",R,
8,8,30.956,0.055940157,1.074717304,0.204852145,leaf,Viridiplantae,Streptophyta,NA,Malvales,Malvaceae,Gossypium,Gossypium barbadense,net photosynthesis,mol m^-2 s^-1,terrestrial,"Wise, R. R., Olson, a. J., Schrader, S. M., & Sharkey, T. D. (2004). Electron transport is the functional limitation of photosynthesis in field-grown Pima cotton plants at high temperature. Plant, Cell and Environment, 27(6), 717_724.",NP,C3
10,10,33.923237,0.262961344,1.391690724,0.8144958,leaf,Viridiplantae,Streptophyta,NA,Malvales,Malvaceae,Gossypium,Gossypium barbadense,net photosynthesis,mol m^-2 s^-1,terrestrial,"Wise, R. R., Olson, a. J., Schrader, S. M., & Sharkey, T. D. (2004). Electron transport is the functional limitation of photosynthesis in field-grown Pima cotton plants at high temperature. Plant, Cell and Environment, 27(6), 717_724.",NP,C3
11,11,25.952,0.367879225,NA,NA,leaf,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,net photosynthesis,mol o2 m^-2 s^-1,marine,"Marsh, J. a., Dennison, W. C., & Alberte, R. S. (1986). Effects of temperature on photosynthesis and respiration in eelgrass (Zostera marina L.). Journal of Experimental Marine Biology and Ecology, 101(3), 257_267.",NP,
13,13,39.438331,0.089477851,NA,NA,leaf,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus ciliaris,net photosynthesis,mol co2 m^-2 s^-1,terrestrial,"Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449_470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449",NP,C3
15,15,32.944744,0.20744876,1.318844533,0.023210862,leaf,Viridiplantae,Streptophyta,NA,Fabales,Fabaceae,Calopogonium,Calopogonium mucunoides,net photosynthesis,mol co2 m^-2 s^-1,terrestrial,"Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449_470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449",NP,C3
17,17,34.307967,0.367253827,1.658327355,0.022119311,NA,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Collema,Collema tenax,net photosynthesis,mol m^-2 s^-1,terrestrial,"Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195_202.",NP,C3
19,19,24.2315063,0.247634499,1.416911296,0.012072476,NA,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Psoraceae,Psora,Psora cerebriformis,net photosynthesis,mol m^-2 s^-1,terrestrial,"Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195_202.",NP,C3
21,21,26.4598044,0.12864086,1.198033621,0.128640697,NA,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,Diploschistes diacapsis,net photosynthesis,mol m^-2 s^-1,terrestrial,"Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195_202.",NP,C3
24,24,28.589128,0.233805561,1.372689788,0.025380096,leaf,Viridiplantae,Streptophyta,NA,Zygophyllales,Zygophyllaceae,Larrea,Larrea tridentata,net photosynthesis,mol m^-2 s^-1,terrestrial,"Salvucci, M., & Crafts-Brandner, S. (2004). Relationship between the heat tolerance of photosynthesis and the thermal stability of Rubisco activase in plants from contrasting thermal environments. Plant Physiology, 134(April), 1460_1470.",NP,C3
28,28,30.544,0.257751056,NA,NA,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,respiration rate,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",R,
33,33,18.672,0.931879102,3.850766696,0.931882673,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,net photosynthesis,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",NP,
36,36,16.095,1.109813451,4.984388872,1.447771261,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,net photosynthesis,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",NP,
39,39,34.9285,0.252985227,NA,0,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,net photosynthesis,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",NP,
42,42,12.75,2.482689268,39.73550259,2.440605709,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,net photosynthesis,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",NP,
45,45,16.652,0.80306616,3.201581559,0.856096658,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,net photosynthesis,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",NP,
48,48,12.72,1.333960255,NA,1.394573807,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,net photosynthesis,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",NP,
49,49,17.166,0.55588924,NA,1.037030791,algae,Viridiplantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata,respiration rate,micro (s^-1),freshwater,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",R,
