ID,OriginalID,topt,e,q10,coef_e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,StandardisedTraitUnit,Habitat,Citation,Metabolic_rate,PT
349,377,23.3339873,0.227276931,1.377172127,0.22728138,discs,Protista,Phaeophyceae,NA,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia anceps,net photosynthesis,mol co2 m^-2 s^-1,marine,"Drew, E. (1977). The physiology of photosynthesis and respiration in some Antarctic marine algae. Br Antarct Surv Bull. Retrieved from http://www.antarctica.ac.uk/documents/bas_bulletins/bulletin46_06.pdf",NP,
350,378,29.3698612,0.62721703,2.36816849,0.789465709,discs,Protista,Phaeophyceae,NA,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia anceps,respiration rate,mol co2 m^-2 s^-1,marine,"Drew, E. (1977). The physiology of photosynthesis and respiration in some Antarctic marine algae. Br Antarct Surv Bull. Retrieved from http://www.antarctica.ac.uk/documents/bas_bulletins/bulletin46_06.pdf",R,
351,379,18.9352702,0.660400585,2.595172917,0.66040636,discs,Plantae,NA,NA,NA,NA,Leptosarca,Leptosarca simplex,net photosynthesis,mol co2 m^-2 s^-1,marine,"Drew, E. (1977). The physiology of photosynthesis and respiration in some Antarctic marine algae. Br Antarct Surv Bull. Retrieved from http://www.antarctica.ac.uk/documents/bas_bulletins/bulletin46_06.pdf",NP,
352,380,25.3255597,0.738713389,NA,NA,discs,Plantae,NA,NA,NA,NA,Leptosarca,Leptosarca simplex,respiration rate,mol co2 m^-2 s^-1,marine,"Drew, E. (1977). The physiology of photosynthesis and respiration in some Antarctic marine algae. Br Antarct Surv Bull. Retrieved from http://www.antarctica.ac.uk/documents/bas_bulletins/bulletin46_06.pdf",R,
353,381,23.2183521,0.314922911,1.561145746,0.314926084,discs,Chromista,NA,NA,NA,NA,Phyllogigas,Phyllogigas grandifolius,net photosynthesis,mol co2 m^-2 s^-1,marine,"Drew, E. (1977). The physiology of photosynthesis and respiration in some Antarctic marine algae. Br Antarct Surv Bull. Retrieved from http://www.antarctica.ac.uk/documents/bas_bulletins/bulletin46_06.pdf",NP,
354,382,29.5677975,0.442499395,1.844986619,0.781981,discs,Chromista,NA,NA,NA,NA,Phyllogigas,Phyllogigas grandifolius,respiration rate,mol co2 m^-2 s^-1,marine,"Drew, E. (1977). The physiology of photosynthesis and respiration in some Antarctic marine algae. Br Antarct Surv Bull. Retrieved from http://www.antarctica.ac.uk/documents/bas_bulletins/bulletin46_06.pdf",R,
356,384,29.4388692,0.432813317,1.824141273,0.540155415,discs,Protista,Phaeophyceae,Phaeophyceae,Ascoseirales,Ascoseiraceae,Ascoseira,Ascoseira mirabilis,respiration rate,mol co2 m^-2 s^-1,marine,"Drew, E. (1977). The physiology of photosynthesis and respiration in some Antarctic marine algae. Br Antarct Surv Bull. Retrieved from http://www.antarctica.ac.uk/documents/bas_bulletins/bulletin46_06.pdf",R,
358,386,24.2504564,0.044137227,1.065328516,0.051580843,NA,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton pectinatus,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
364,392,37.2140895,0.073617795,1.1049808,0.073617806,NA,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton pectinatus,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
367,395,26.118724,0.082343605,1.123537125,0.078611228,NA,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton pectinatus,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
