,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID,AIC
48,3.825475707,12.72,-3.342,22.461,1.333960255,2.938103168,NA,9.741,25.803,4.755,-1.604142913,48,48.98918224
49,6.163087206,17.166,-10.207,Inf,0.55588924,0.241863072,NA,Inf,Inf,16.498,0.314026168,49,35.44535374
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NULL
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NULL
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NULL
53,1.10E-05,17.5400857,-7.2769143,Inf,0.587996373,NA,2.379704588,Inf,Inf,18.362,NA,53,-150.6571949
54,8.28E-06,20.9680793,-5.1589207,Inf,0.457771132,NA,1.935498816,Inf,Inf,18.594,NA,54,-161.8415198
55,1.08E-05,14.4687963,-6.3852037,Inf,0.544445402,NA,2.237688704,Inf,Inf,21.05,NA,55,-155.2593734
56,8.62E-06,19.591472,-9.381528,Inf,0.664735298,NA,2.668916545,Inf,Inf,15.043,NA,56,-151.8462368
57,1.03E-05,20.3247866,-6.1762134,Inf,0.566512794,NA,2.247934174,Inf,Inf,13.892,NA,57,-158.1111273
58,1.29E-05,21.527519,-5.550481,Inf,0.528203308,NA,2.128236018,Inf,Inf,14.901,NA,58,-181.1085198
59,1.84E-06,18.2650543,-16.3449457,46.6260543,0.499132942,0.609985404,2.083558928,28.361,62.971,11.922,-0.110852462,59,-194.050819
60,9.24E-06,22.1316265,-3.4803735,Inf,0.547111347,NA,2.188613008,Inf,Inf,13.709,NA,60,-255.3570882
61,1.67E-06,15.4350512,-7.9279488,38.5060512,0.693859965,NA,2.760157273,23.071,46.434,8.763,NA,61,-150.4435727
62,6.12E-06,15.7383813,-7.5736187,Inf,0.611306647,NA,2.45562856,Inf,Inf,15.394,NA,62,-155.4355231
63,6.45E-06,15.671924,-6.712076,Inf,0.728047586,NA,2.949597653,Inf,Inf,16.907,NA,63,-126.0538162
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NULL
65,7.86E-06,14.7528666,-8.4291334,Inf,0.650342006,0.105962934,2.647839986,Inf,Inf,21.426,0.544379072,65,-214.5690415
66,6.93E-06,14.5915215,-15.2914785,Inf,0.572194382,0.172647167,2.389075015,Inf,Inf,19.789,0.399547216,66,-154.8230589
67,7.69E-06,15.3698723,-10.9641277,61.2538723,0.764876033,NA,3.183828042,45.884,72.218,12.746,NA,67,-121.4481767
68,8.49E-06,14.0568225,-12.3831775,44.3198225,0.775727865,0.64396117,3.24690087,30.263,56.703,10.638,0.131766695,68,-146.6316289
69,7.11E-06,4.080499,-2.888501,Inf,NA,0.157823934,NA,Inf,Inf,13.643,NA,69,-146.4183778
70,9.27E-06,16.0951831,-6.7718169,Inf,0.907773664,NA,3.8910377,Inf,Inf,13.882,NA,70,-159.0409249
71,5.92E-06,12.5079576,-8.6040424,Inf,0.722392551,0.274259607,2.955832457,Inf,Inf,14.697,0.448132944,71,-186.1213577
72,6.55E-06,15.120713,-7.901287,Inf,0.427823614,NA,1.87277197,Inf,Inf,23.332,NA,72,-174.5443321
73,2.13E-07,16.7325124,#NAME?,23.5215124,NA,2.214329035,NA,6.789,Inf,9.749,NA,73,-142.031103
74,6.84E-06,11.5091213,-7.9848787,Inf,0.59800687,0.093772762,2.457151031,Inf,Inf,25.256,0.504234108,74,-178.7950339
75,5.34E-06,10.4785164,-8.9954836,77.3485164,1.070748,0.378437827,5.214441456,66.87,86.344,12.6,0.692310173,75,-154.4076132
76,5.35E-06,26.325,-20.185,61.088,0.338540611,0.603041864,1.592300276,34.763,81.273,15.421,-0.264501252,76,-228.3068222
77,5.56E-06,30.087,#NAME?,51.076,0.08200972,0.953126504,1.114416583,20.989,Inf,22.462,-0.871116784,77,-207.0496666
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NULL
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NULL
80,0.000233083,23.52312,-22.50088,66.53712,0.36403823,0.408653067,1.675333662,43.014,89.038,16.918,-0.044614838,80,-125.5564226
81,0.000325441,28.7602066,-20.2027934,60.2062066,0.354038639,NA,1.628538252,31.446,80.409,15.118,NA,81,-122.4045074
82,7.55E-06,22.072186,#NAME?,41.056186,NA,0.8873247,NA,18.984,Inf,10.912,NA,82,-136.1165876
83,9.24E-06,24.918333,-0.015667,50.964333,NA,0.822546756,NA,26.046,50.98,9.624,NA,83,-212.3264617
84,3.81E-06,21.217429,-35.374571,50.272429,0.141379234,0.765706562,1.215762793,29.055,85.647,15.839,-0.624327327,84,-240.3390958
85,2.62E-06,15.05202287,-10.48097713,Inf,0.221974896,NA,1.380806108,Inf,Inf,15.504,NA,85,-197.1011772
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NULL
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NULL
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NULL
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NULL
90,5.22E-06,20.374,14.965,Inf,NA,0.11373885,NA,Inf,Inf,12,NA,90,-118.4042659
91,7.00E-06,20.347,14.938,Inf,NA,0.114062108,NA,Inf,Inf,12,NA,91,-113.5024982
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NULL
93,5.63E-06,25.886,-14.811,44.159,0.263693097,NA,1.427054534,18.273,58.97,10.126,NA,93,-122.8623152
94,4.14E-06,24.518,#NAME?,41.221,0.089476754,NA,1.125628245,16.703,Inf,11.204,NA,94,-127.7402567
95,5.95E-06,27.873,#NAME?,31.099,0.112715721,NA,1.164249243,3.226,Inf,11.411,NA,95,-120.2776254
96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NULL
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NULL
98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NULL
99,0.000283307,18,9.636,Inf,NA,0.042260113,NA,Inf,Inf,12,NA,99,-83.24986509
100,6.75E-05,30,9.688,Inf,0.030473982,NA,1.041250254,Inf,Inf,12,NA,100,-102.2570704
101,8.53E-05,26.055,-26.076,73.262,0.031987298,NA,1.042710837,47.207,99.338,12,NA,101,-96.45153398
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NULL
103,7.61E-05,25.849,-21.599,61.481,0.34622753,NA,1.59527564,35.632,83.08,12,NA,103,-93.27414308
104,6.57E-05,23.898,-17.51,61.06,NA,0.261560788,NA,37.162,78.57,12,NA,104,-106.5046125
105,8.54E-05,27.761,#NAME?,31.123,0.078309802,NA,1.110850979,3.362,Inf,11.429,NA,105,-99.33262312
106,5.12E-06,45.44968,4.56268,Inf,0.413865194,NA,1.665063425,Inf,Inf,6.681,NA,106,-675.7541058
107,8.34E-05,34.945,0.951,78.407,0.596165028,0.174015899,2.185163942,43.462,77.456,12.064,0.422149129,107,-393.5649776
108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NULL
109,1.60E-05,24.817,-19.306,67.619,0.377881342,0.248864922,1.693116283,42.802,86.925,16.482,0.12901642,109,-157.854638
