,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID
442,0.000138639,48.348153,-8.239847,Inf,0.355758433,NA,1.565363539,Inf,Inf,7.129,NA,472
443,0.000114444,48.348153,-4.570847,Inf,0.274226899,NA,1.415520201,Inf,Inf,19.353,NA,473
444,0.000138843,50.986848,4.915848,Inf,0.222589055,NA,1.312981749,Inf,Inf,23.732,NA,474
445,0.000141293,43.389038,-1.224962,Inf,0.473051671,NA,1.837576296,Inf,Inf,7.913,NA,475
446,9.32E-05,34.680773,-9.894227,Inf,0.478174515,NA,1.904587519,Inf,Inf,8.656,NA,476
447,9.37E-05,34.680617,-0.010383,Inf,0.394107554,NA,1.698990765,Inf,Inf,15.555,NA,477
448,9.95E-05,34.964539,-24.362461,Inf,0.383901615,NA,1.684856445,Inf,Inf,5.377,NA,478
449,3.59E-05,23.003942,-19.587058,Inf,0.389907575,NA,1.722827675,Inf,Inf,5.443,NA,479
450,5.39E-05,22.988817,-7.305183,Inf,0.422861194,NA,1.801778385,Inf,Inf,5.876,NA,480
451,7.60E-05,23.033703,-4.997297,Inf,0.668931041,NA,2.537539963,Inf,Inf,3.245,NA,481
452,6.74E-05,23.0317,-0.5583,Inf,0.614843515,NA,2.352024522,Inf,Inf,5.118,NA,482
453,0.000543275,27,2.436,Inf,0.25924753,NA,1.427348974,Inf,Inf,13.1,NA,483
454,2.50E-05,27,3.933,Inf,0.282964315,NA,1.471517525,Inf,Inf,17.574,NA,484
455,6.66E-07,22.5,#NAME?,Inf,0.005679561,NA,1.013289491,Inf,Inf,8.9,NA,485
456,3.27E-07,22.5,-16.466,Inf,0.510916551,NA,2.009111446,Inf,Inf,3.939,NA,486
457,9.45E-07,34.3,24.651,Inf,-0.250069375,NA,0.726946737,Inf,Inf,6.33,NA,487
458,4.19E-07,34.3,-4.165,Inf,0.561602104,NA,2.034448466,Inf,Inf,3.693,NA,488
459,1.57E-06,35.9,6.313,Inf,0.760870573,NA,2.627354096,Inf,Inf,2.691,NA,489
460,4.59E-07,35.9,-0.719,Inf,0.532672187,NA,1.953283596,Inf,Inf,4.393,NA,490
461,9.05E-07,30,-1.973,Inf,0.644176476,NA,2.345977618,Inf,Inf,2.766,NA,491
462,4.64E-07,30,-6.63,Inf,0.569602557,NA,2.130010736,Inf,Inf,3.071,NA,492
463,1.36E-06,30,-1.856,Inf,0.666690057,NA,2.4146689,Inf,Inf,2.628,NA,493
464,7.38E-07,30,-9.295,Inf,0.525652506,NA,2.012086802,Inf,Inf,3.325,NA,494
465,1.27E-06,30,-2.533,Inf,0.651190081,NA,2.366855142,Inf,Inf,2.69,NA,495
466,6.38E-07,30,7.037,Inf,0.561187293,NA,2.103211767,Inf,Inf,4.95,NA,496
467,9.17E-07,30,1.458,Inf,0.673978501,NA,2.438453251,Inf,Inf,2.785,NA,497
468,2.13E-05,30,-2.043,Inf,0.642626897,NA,2.341225019,Inf,Inf,2.772,NA,498
469,7.53E-06,30,-6.465,Inf,0.572531023,NA,2.138491314,Inf,Inf,3.056,NA,499
470,1.75E-05,30,-1.762,Inf,0.668885684,NA,2.421554479,Inf,Inf,2.619,NA,500
471,1.08E-05,30,-9.495,Inf,0.522597733,NA,2.004222703,Inf,Inf,3.345,NA,501
472,1.79E-05,30,-2.86,Inf,0.643923193,NA,2.344673399,Inf,Inf,2.72,NA,502
473,7.96E-06,30,7.028,Inf,0.563008643,NA,2.108230522,Inf,Inf,4.864,NA,503
474,1.69E-05,30,1.653,Inf,0.674262895,NA,2.438974006,Inf,Inf,2.795,NA,504
475,0.000204097,35,-4.401,Inf,0.055778581,NA,1.068688235,Inf,Inf,24.223,NA,505
476,0.000103922,35,-14.503,Inf,0.415768555,NA,1.730689637,Inf,Inf,4.331,NA,506
477,0.425107605,30,9.458,Inf,0.38708882,NA,1.672940447,Inf,Inf,6.487,NA,507
478,117.565919,30.899023,-21.108977,Inf,0.133096868,NA,NA,Inf,Inf,7.794,NA,508
479,120.1406808,30.926237,#NAME?,Inf,0.190167424,NA,NA,Inf,Inf,8.721,NA,509
480,106.1648067,30.899724,15.234724,Inf,0.003764892,NA,NA,Inf,Inf,14.102,NA,510
481,103.3530321,30.52363,15.28713,Inf,-0.014863439,NA,NA,Inf,Inf,13.943,NA,511
482,112.5321986,28.509257,#NAME?,Inf,0.200805981,NA,NA,Inf,Inf,9.083,NA,512
483,132.7359184,33.607827,#NAME?,Inf,0.235421538,NA,NA,Inf,Inf,8.459,NA,513
484,103.61106,28.495915,15.030415,Inf,-0.001453504,NA,NA,Inf,Inf,11.914,NA,514
485,113.1862457,33.561211,#NAME?,Inf,0.026814607,NA,NA,Inf,Inf,9.936,NA,515
486,157.1966227,34.316056,-11.164944,Inf,0.282419636,NA,NA,Inf,Inf,8.854,NA,516
487,150.8230754,34.416307,-25.323693,Inf,0.251698769,NA,NA,Inf,Inf,8.992,NA,517
488,102.625692,34.269735,15.679735,Inf,-0.008209991,NA,NA,Inf,Inf,17.023,NA,518
489,102.0334603,32.541261,15.656261,Inf,-0.070757624,NA,NA,Inf,Inf,17.196,NA,519
490,2.215002829,23.5443746,-20.8216254,Inf,0.44111746,NA,NA,Inf,Inf,4.193,NA,520
491,0.000138779,29.99846608,0.175466083,Inf,0.587715123,NA,2.228776532,Inf,Inf,4.432,NA,521
492,0.000360116,29.91720877,3.745208774,Inf,0.840955499,NA,3.177859722,Inf,Inf,4.721,NA,522
493,2.61E-06,27.144761,1.682761,Inf,0.512100729,NA,2.010133369,Inf,Inf,3.628,NA,523
494,5.98E-07,17.7752472,1.5522472,Inf,0.665179336,NA,2.599550308,Inf,Inf,8.105,NA,524
495,6.05E-07,11.6863643,-4.6586357,Inf,0.459611413,NA,1.972346378,Inf,Inf,7.572,NA,525
496,7.60E-07,19.6420107,9.3780107,Inf,0.370980762,NA,1.67362668,Inf,Inf,8.766,NA,526
497,3.73E-07,11.2656385,-3.7113615,Inf,0.723937234,NA,2.991378661,Inf,Inf,7.08,NA,527
498,3.61E-07,25.0100014,9.2060014,Inf,0.023753552,NA,1.021422204,Inf,Inf,12.16,NA,528
499,8.37E-07,12.89874514,-6.113254857,Inf,0.843594856,NA,3.50854382,Inf,Inf,3.883,NA,529
500,5.32E-07,25.0056663,#NAME?,Inf,0.036623037,NA,1.038363562,Inf,Inf,21.182,NA,530
501,20.21002657,30.7690087,0.0950087,Inf,0.177921043,NA,NA,Inf,Inf,19.743,NA,531
502,28.97857151,38.878457,7.823457,Inf,0.295334609,NA,NA,Inf,Inf,20.13,NA,532
503,4.34E-05,37.666347,-2.224653,Inf,0.421601714,NA,1.739362754,Inf,Inf,8.647,NA,533
